issue_time,role,query_N,training_N,latest_training_end,latest_preprocessing_end,source_prediction_sha256,source_receipt_sha256,training_membership_sha256
2025-03-22 08:00:00+00:00,DEVELOPMENT,482,52751,2025-03-22 07:57:39+00:00,2025-03-22 07:57:39+00:00,8166239e3da5459b6c5ea3fd7f9935739eb49c9c57c6cbcdb8a7e1e351afb0e3,b55184da3baecc7d0ff8a0cdc043ff1a4a0cbf2bb8ad32a454f05db0609436b5,3659e13c92c39834a699c79deceeb66f072456f55b4129158b0c4efe8ebd5253
2025-03-23 08:00:00+00:00,DEVELOPMENT,252,52785,2025-03-23 07:59:44+00:00,2025-03-23 07:59:44+00:00,81fc8359524d014f751134cd99ffe0f1effa46f986001dcad2f88b9dda1fd906,efc968e365ccc781ee9b8ba23c8df54892e485caa13e927b2adb8ef4487d2700,b8fd5483abbdf783bc0724ba23fc1ed3e15b66db7b68b6f9f1862a0752b8644f
2025-03-24 08:00:00+00:00,DEVELOPMENT,385,52835,2025-03-24 07:32:08+00:00,2025-03-24 07:32:08+00:00,894178f13e5a5288496ee5827a2e7abf7a876417a0f74ca30439bc25239c355a,42551996b468f2ff8266307719291338fe4d7b167abb0a70f38f24e98c010314,04a42d35e04f1a9626921c33c144f81d7c1cce9148cae460c096c3af2cb928cb
2025-03-25 08:00:00+00:00,DEVELOPMENT,369,53099,2025-03-25 07:54:34+00:00,2025-03-25 07:54:34+00:00,6f5e651dbc1691b03c20f6d55ee6d765933a2e8b485244928116454af3ab683f,04881db59fd9deba08678f4a290de8ddc668957da933ef16f80d4e43b1177cfc,bb4fdab5724c3514d374385e92b9b47fe063805b7266086a187d00c72c51e8d6
2025-03-26 08:00:00+00:00,DEVELOPMENT,339,53204,2025-03-26 07:49:19+00:00,2025-03-26 07:49:19+00:00,4bc74d8de9a5ba4eeb9ef519e5edb6d6eada04262db9bad771a24df2c6c7bc7c,15c1b505f0a97fcb3d5fa76c731e688d33ff931bbf3f85e66ec71f1f48018589,16306c3b6fcb79ae4fd5474155ea0472073ffeb706616dee770f00f2e3ab5204
2025-03-27 08:00:00+00:00,DEVELOPMENT,49,53078,2025-03-27 07:17:44+00:00,2025-03-27 07:17:44+00:00,25a2d995ee6df1f1e7f156635a3fe3eed878dcf09e30fd21da36c95d54060d2b,a2d9a6f0216690b4f41fc556ba1662c76d4f4bf5c389e6b4691df2ddcee571a8,a4cc1a83c12beaf01a32015f964336fca11bb9eb9901babc096b7c57700b1e56
2025-03-28 08:00:00+00:00,DEVELOPMENT,6,52960,2025-03-28 03:51:11+00:00,2025-03-28 03:51:11+00:00,861b519ca53eb525fcb1673f313f65e879fa4e265639cf6ebaae6d90f4a6fa01,abbeb04ec06582ac79ce6cedb64144bd0a447fe8e46bbba46bc44dea07c3f021,c423f598ecabf32605ed0b225f6c623d75b56f8491d4d9e1669360d0662bf72e
2025-03-29 08:00:00+00:00,DEVELOPMENT,417,52501,2025-03-29 07:57:16+00:00,2025-03-29 07:57:16+00:00,7fb39a0e764426a13406986bb43b345256c1bf40a461af9e491db50477a32315,bbc1b4a28e2abc4bf05cc99c2d4fc582f76d331489f0dce3d299c2c590fd1bd4,fc309c4bdcf148f45998f41718b2eb82b4aa05b3a5afe6b9e8086d8c4741b820
2025-03-30 08:00:00+00:00,DEVELOPMENT,223,52356,2025-03-30 07:59:59+00:00,2025-03-30 07:59:59+00:00,736652465055e503dc44b382eb9993744b6ea9fb6beb3d9d6198625c7d651aae,b2bcd5094938e3fd1362897a6fc378a556d5cedcdd52d79a728b108455a5575a,036771087f2a215770ae3ab972d261667d9f1a1d97ca2519d608ff629b575761
2025-04-02 08:00:00+00:00,CALIBRATION,194,53644,2025-04-02 07:49:57+00:00,2025-04-02 07:49:57+00:00,3e63f46dde0cc0d90a107c1602b3a1fef128bc20f2454d3bcc5aedfa9837326c,5a5d9c12addcb93dbea91299e43a98c732ed2d0e1db1fd24bec589f5311ed61a,30ad08f1701ae99d26777b7c2e90f7e3c5e9db69f3ccc291e983d19e25c44b48
2025-04-03 08:00:00+00:00,CALIBRATION,282,54060,2025-04-03 07:50:36+00:00,2025-04-03 07:50:36+00:00,2ad1fad1258e9e24bc7d656d90f6ee38ebe7e163edac542e93a9ced87a5f43ff,d0a365b452189762656ef9db98b2c641f2992df88dfc37c2c93ff5644325cad4,3da19eacd16b660729d2cda5653a43e95233899d797593b10ec284b1e5cd1548
2025-04-04 08:00:00+00:00,CALIBRATION,242,54480,2025-04-04 07:50:05+00:00,2025-04-04 07:50:05+00:00,b8deafbf341d2febdb9a00d78d39e9556962a71ecfb2113918af890ff3dcd765,7a10602b2b18d26e4c92ddc4cc4d72f4fbece77d700acc05c1a6c14b47330958,be9e4b58f5ae0b75a1787f6d43873eeda6a6465fde55e0d922ac4c996a06f82d
2025-04-05 08:00:00+00:00,CALIBRATION,206,54869,2025-04-05 07:42:28+00:00,2025-04-05 07:42:28+00:00,98fe7301dd4d707de583f9a034d7dcca50b62ce655a32533b6e19636065be78c,5381abd69225371ebd71085350fd6121e9ddc4d497b88f5b042505099078fa89,7acc31c689f98c7b4114d35239e30dcaef42e9293f9ba98004014f48ba0456f7
2025-04-06 08:00:00+00:00,CALIBRATION,305,55072,2025-04-06 07:48:46+00:00,2025-04-06 07:48:46+00:00,f316644a7a379bb6c24988eb8e2630deaba29737fe8447068f057e3fdb8e8104,76bb4340a6f23d1bf40e5d9afb201339cd4d9d6b76b427089c8aa72a296192b5,8da66fcdf2cc6b4ce1cf4a9d202e15247ac3ace92f11633cb40f29e6c3584b5d
2025-04-07 08:00:00+00:00,CALIBRATION,237,55511,2025-04-06 20:06:33+00:00,2025-04-06 20:06:33+00:00,f75e6f4cb7350a54e9dace78cf14ff9499c45ab6088baeb622b8f11f1017aecc,6527ad1e0224e92ac002aecc5c0b450ad11439db9e24178764bdb9ff6941d090,1d971ff48092dc06bce29899147fee4aa4fbe3ddcec816a9fafb9f5e2087e789
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,124,56127,2025-04-10 07:56:29+00:00,2025-04-10 07:56:29+00:00,56d899807f13310df1582bc62a44063eaef7e009cd05ec6bcef79807cdff6536,c0192418ee0abac461cf6c383c6f2d8200fd02c4ca599c0ccdeca08ac1a31c92,ebf98a3c8b8234bcd83ca5e78b37a87d70f3673132374cb94e583355b7f025f4
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,146,56006,2025-04-11 07:58:07+00:00,2025-04-11 07:58:07+00:00,2494c305b2ebc956447f613841dd1620bf3411b4a691b59ab26256f64ad6ee4c,61d55086047658fc479f63d4ecaa10b1780ccd85de0909b8b12b14a26685da75,ae3059a5ff077de765f5ea26f1428fa53e74c922bb08e567366c53a151adbdac
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,248,56142,2025-04-12 07:58:37+00:00,2025-04-12 07:58:37+00:00,de42bdc51992a8352020f438789b4b55806412114b0baec9bbcb24c8a4f59526,c3d9f3dfbf540dedc56a684eb4e72a04ebf9829d7f0c401b86862d01acdb942e,d42239dce9f4bcd6fc5be1f5208ef63a1ca3586e4c703c8aadcd9b12ceec899e
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,226,56345,2025-04-13 07:45:48+00:00,2025-04-13 07:45:48+00:00,0603e2609e7740a32d70eb14129e937b2f9ea5ea7a9ac79172c225105cb1e1a4,ac679103c1f99255624163fcd29133a544b69cb572a5d428664dd4e710215c4f,45cca75a3fcc76bcf99b8f30896cf4a01c7582eb7cd5e0a7f73e43946eff741f
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,200,56580,2025-04-14 07:57:34+00:00,2025-04-14 07:57:34+00:00,774f5b41ddc693c4dae0799f3ae3387b86db0e5703a8234fd254c32a215f7996,efd10c341a6f2e6403f1500a97fa0f3fe7eb9f8cac9c545b473373f32b5732af,450ba1118eb1d8c7151aa49adb2257b678aa4a1d4cdc153e0d81750f02b866ee
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,220,56560,2025-04-16 07:48:30+00:00,2025-04-16 07:48:30+00:00,3987c651fb4cca67aabe565e74fa9c2029f7332b4fafd331bee1386591907955,453d48946ac278f92349e433154a47010556d33ad6b9f43fe29abe1003b64607,9f1ed6959ae6ac249c4ba5c2b1fba812a57014cd1179000eef1c3a2e9b671b4c
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,145,56659,2025-04-17 07:52:27+00:00,2025-04-17 07:52:27+00:00,9e31d972aa018b1ffb97460462dcdd316bd68464b63226f3534b2e901fe52b56,f8a9ec2a307e35becbb280290c5ce68bd901591af1d705ac314247ceb52be755,b6b5171084530baefee77f96ae89334f84795bcb1b71dd2e32df2c8054211f8b
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,167,56694,2025-04-18 07:59:48+00:00,2025-04-18 07:59:48+00:00,aa90211a5ef549271ca22d0a07b6651d2f16b8cbd315492caf00c91b4425ca12,bdb865a170546a9ef8f4bbad2097cf128ec7e8a16965444b13611fd0effb33d6,44f5fcf00b772a281b179cee42ba0e4cae4b31b74cbc2cc450c689600f834085
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,143,56827,2025-04-19 07:53:48+00:00,2025-04-19 07:53:48+00:00,b90f46960244db7d2446b42e335e520ae55e7abacc34de64b3854a18a5302dea,323bb5b15c1ce6fdf27ded5094d52c1948a9b501360881f6a1a0fb41461056a3,1e0a20ee09a2116d64d3991da3fb1d831c573a5c23435a3b634ce20b685e212b
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,160,56755,2025-04-20 07:59:56+00:00,2025-04-20 07:59:56+00:00,08253a3aa90bf4a2402771adcf9873d4ea5ac6c7b88eb9bb9d2656c5b155ec7d,f5af225af163e1b0d433cd47eca7a0587af85c2f5b81a318d608ae3e38ab35ca,0005b67916f2c72b34538120ac9356e311d4b87892803ab0e46675e06561633e
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,221,56916,2025-04-21 07:59:42+00:00,2025-04-21 07:59:42+00:00,d78934e10e2860ef485e0e136065a5e5e86bbd0694ede5b2c7d291dd79f1b963,f37ee9213e50842b019088a16c64596863e51ed4f67abfd472ae943428d160a9,2ac97bed8384513675880870ed8b96aac6fef2d562bcb6035b9018db55a70a96
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,390,57046,2025-04-22 07:58:44+00:00,2025-04-22 07:58:44+00:00,5d45d0d1e06bbf98d0c654dfaca7896f9751050e4f749ff332d99f62b10ac919,8b6650481dddde2cc6e001c2d1a4ab20cfd29b3c2b685ba9a1358631293a8e1e,c02c011ae62ed1c0a1984a7ace94a27f46dcba36e4277e9da287c3517f18d6a2
