apr01_slot,issue_relative_slot,timestamp_AEST,N_active_RW,N_active_RSP,N_active_delta_RSP_minus_RW,P_IT_RW_FROZEN_kW,P_IT_RSP_LOW_kW,P_IT_RSP_CENTER_kW,P_IT_RSP_HIGH_kW,Delta_P_IT_LOW_kW,Delta_P_IT_CENTER_kW,Delta_P_IT_HIGH_kW
0,24,2025-04-01T00:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
1,25,2025-04-01T00:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
2,26,2025-04-01T00:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
3,27,2025-04-01T00:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
4,28,2025-04-01T01:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
5,29,2025-04-01T01:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
6,30,2025-04-01T01:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
7,31,2025-04-01T01:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
8,32,2025-04-01T02:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
9,33,2025-04-01T02:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
10,34,2025-04-01T02:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
11,35,2025-04-01T02:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
12,36,2025-04-01T03:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
13,37,2025-04-01T03:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
14,38,2025-04-01T03:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
15,39,2025-04-01T03:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
16,40,2025-04-01T04:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
17,41,2025-04-01T04:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
18,42,2025-04-01T04:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
19,43,2025-04-01T04:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
20,44,2025-04-01T05:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
21,45,2025-04-01T05:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
22,46,2025-04-01T05:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
23,47,2025-04-01T05:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
24,48,2025-04-01T06:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
25,49,2025-04-01T06:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
26,50,2025-04-01T06:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
27,51,2025-04-01T06:45:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
28,52,2025-04-01T07:00:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
29,53,2025-04-01T07:15:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
30,54,2025-04-01T07:30:00+10:00,624.0,624.0,0.0,406.7759938138191,406.7759938138191,406.7759938138191,406.7759938138191,0.0,0.0,0.0
